state,lat,lon,voltage,name
TX,29.7,-95.3,138000,
TX,29.8,-95.3,138000,
TX,29.9,-95.3,138000,
TX,30.0,-95.3,138000,
TX,30.1,-95.3,138000,
TX,30.2,-95.3,138000,
TX,30.3,-95.3,138000,
TX,30.4,-95.3,138000,
TX,30.5,-95.3,138000,
TX,30.6,-95.3,138000,
TX,30.7,-95.3,138000,
TX,30.8,-95.3,138000,
TX,30.9,-95.3,138000,
TX,31.0,-95.3,138000,
TX,31.1,-95.3,138000,
TX,31.2,-95.3,138000,
TX,31.3,-95.3,138000,
TX,31.4,-95.3,138000,
TX,31.5,-95.3,138000,
TX,31.6,-95.3,138000,
TX,31.7,-95.3,138000,
TX,31.8,-95.3,138000,
TX,31.9,-95.3,138000,
TX,32.0,-95.3,138000,
TX,32.1,-95.3,138000,
TX,32.2,-95.3,138000,
TX,32.3,-95.3,138000,
TX,32.4,-95.3,138000,
TX,32.5,-95.3,138000,
TX,32.6,-95.3,138000,
TX,32.7,-95.3,138000,
TX,32.8,-95.3,138000,
TX,32.9,-95.3,138000,
TX,33.0,-95.3,138000,
TX,33.1,-95.3,138000,
TX,33.2,-95.3,138000,
TX,33.3,-95.3,138000,
TX,33.4,-95.3,138000,
TX,33.5,-95.3,138000,
TX,33.6,-95.3,138000,
TX,33.7,-95.3,138000,
TX,33.8,-95.3,138000,
TX,33.9,-95.3,138000,
TX,34.0,-95.3,138000,
TX,34.1,-95.3,138000,
TX,34.2,-95.3,138000,
TX,34.3,-95.3,138000,
TX,34.4,-95.3,138000,
TX,34.5,-95.3,138000,
TX,34.6,-95.3,138000,
TX,34.7,-95.3,138000,
TX,34.8,-95.3,138000,
TX,34.9,-95.3,138000,
TX,35.0,-95.3,138000,
TX,35.1,-95.3,138000,
TX,35.2,-95.3,138000,
TX,35.3,-95.3,138000,
TX,35.4,-95.3,138000,
TX,35.5,-95.3,138000,
TX,35.6,-95.3,138000,
